country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Bulgaria,BGR,1/20/2021,24127,19834,4293,1901,1013,0.35,0.29,0.06,146,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Canada,CAN,1/20/2021,485739,,,25959,28179,1.29,,,747,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
Cayman Islands,CYM,1/20/2021,,,,,275,,,,4184,Pfizer/BioNTech,Cayman Islands Government,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard
Chile,CHL,1/20/2021,54036,45676,8360,3112,5632,0.28,0.24,0.04,295,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
China,CHN,1/20/2021,15000000,15000000,,,714286,1.04,1.04,,496,"CNBG, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html
Costa Rica,CRI,1/20/2021,,,,,2029,,,,398,Pfizer/BioNTech,National Health Commission,https://www.swissinfo.ch/spa/coronavirus-costa-rica_costa-rica-ha-aplicado-57.701-vacunas-contra-la-covid-19/46336712
Croatia,HRV,1/20/2021,,,,,3329,,,,811,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/i-dalje-potreban-oprez-730-novih-slucajeva-zaraze/31434
Cyprus,CYP,1/20/2021,,,,,969,,,,1106,Pfizer/BioNTech,Ministry of Health,https://cyprus-mail.com/2021/01/30/coronavirus-more-vaccination-slots-to-open-on-monday/
Czech Republic,CZE,1/20/2021,164599,156969,7630,15438,11215,1.54,1.47,0.07,1047,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,1/20/2021,187617,180676,6941,3434,7861,3.24,3.12,0.12,1357,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-04022021-n1z9
Estonia,EST,1/20/2021,20478,,,1163,1000,1.54,,,754,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-5-veebruar-oopaevaga-lisandus-596-positiivset-testi
Finland,FIN,1/20/2021,62061,,,6237,5562,1.12,,,1004,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
France,FRA,1/20/2021,708973,708973,,123238,67598,1.05,1.05,,997,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
Germany,DEU,1/20/2021,1487398,1378723,108675,127879,84391,1.78,1.65,0.13,1007,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Gibraltar,GIB,1/20/2021,7017,7017,,0,520,20.83,20.83,,15434,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1357291680366555137
Greece,GRC,1/20/2021,109831,108167,1664,15377,6414,1.05,1.04,0.02,615,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Hungary,HUN,1/20/2021,138584,134554,4030,5327,6069,1.43,1.39,0.04,628,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1576-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-98-beteg
Iceland,ISL,1/20/2021,6205,5725,480,,63,1.82,1.68,0.14,185,"Moderna, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,1/20/2021,806484,,,131649,161297,0.06,,,117,"Covaxin, Oxford/AstraZeneca",Ministry of Health,https://www.mohfw.gov.in/
Indonesia,IDN,1/20/2021,,,,,13200,,,,48,Sinovac,Ministry of Health,https://www.kemkes.go.id/
Ireland,IRL,1/20/2021,121900,,,,6371,2.47,,,1290,Pfizer/BioNTech,Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Israel,ISR,1/20/2021,3107647,2386705,720942,217688,143689,35.9,27.57,8.33,16601,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,1/20/2021,1298946,1285497,13449,29229,54334,2.15,2.13,0.02,899,"Moderna, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv
Kuwait,KWT,1/20/2021,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518
Latvia,LVA,1/20/2021,18434,,,770,993,0.98,,,526,Pfizer/BioNTech,National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lithuania,LTU,1/20/2021,66237,57739,8498,3468,4615,2.43,2.12,0.31,1695,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Luxembourg,LUX,1/20/2021,6193,6193,,899,475,0.99,0.99,,759,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/1f6f6910-8dc4-4d17-9fbe-03bbc9664591
Malta,MLT,1/20/2021,15316,,,1040,1162,3.47,,,2632,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Mexico,MEX,1/20/2021,501030,489628,11402,2908,44066,0.39,0.38,0.01,342,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-263016?idiom=es
Netherlands,NLD,1/20/2021,100000,,,,7571,0.58,,,442,"Moderna, Pfizer/BioNTech",National Institute for Public Health and the Environment,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
Northern Cyprus,,1/20/2021,,,,,1163,,,,3043,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://cyprus-mail.com/2021/01/22/coronavirus-11000-vaccines-administered-in-the-north/
Northern Ireland,,1/20/2021,166538,144212,22326,6142,6404,8.79,7.62,1.18,3382,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Norway,NOR,1/20/2021,68762,67015,1747,10631,4489,1.27,1.24,0.03,828,Pfizer/BioNTech,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
Oman,OMN,1/20/2021,29548,24773,4775,1499,971,0.58,0.49,0.09,190,Pfizer/BioNTech,Ministry of Health,https://twitter.com/OmaniMOH/status/1354699593666195458
Panama,PAN,1/20/2021,6,,,6,6,0,,,1,Pfizer/BioNTech,Ministry of Health,https://twitter.com/MINSAPma/status/1353489103589945351/photo/1
Poland,POL,1/20/2021,591785,566793,24992,50556,31796,1.56,1.5,0.07,840,Pfizer/BioNTech,Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Portugal,PRT,1/20/2021,,,,,12286,,,,1205,Pfizer/BioNTech,National Health Service,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/
Romania,ROU,1/20/2021,308384,302570,5814,38338,22017,1.6,1.57,0.03,1144,Pfizer/BioNTech,Government of Romania,https://vaccinare-covid.gov.ro/wp-content/uploads/2021/02/04.02.21-Tabel-situatie-vaccinari-2.pdf
Saudi Arabia,SAU,1/20/2021,,,,,14594,,,,419,Pfizer/BioNTech,Saudi Health Council,https://coronamap.sa
Serbia,SRB,1/20/2021,44611,,,,4098,0.66,,,602,"Pfizer/BioNTech, Sinopharm, Sputnik V",Government of Serbia,https://www.danas.rs/drustvo/vakcinu-dobilo-526-930-gradjana-nis-i-dalje-vodeci-u-zemlji/
Seychelles,SYC,1/20/2021,13163,13163,,2187,1595,13.39,13.39,,16219,"Oxford/AstraZeneca, Sinopharm",Extended Programme for Immunisation,https://www.facebook.com/mohseychellesofficial/photos/1648953545305770
Singapore,SGP,1/20/2021,,,,,5380,,,,920,Pfizer/BioNTech,Ministry of Health,https://www.moh.gov.sg/news-highlights/details/second-covid-19-vaccine-authorised-for-use-in-singapore
Slovakia,SVK,1/20/2021,85957,84057,1900,7294,5673,1.57,1.54,0.03,1039,Pfizer/BioNTech,Ministry of Health,https://covid-19.nczisk.sk
Slovenia,SVN,1/20/2021,54166,49145,5021,4537,2636,2.61,2.36,0.24,1268,Pfizer/BioNTech,"National Institute of Public Health, via Sledilnik",https://covid-19.sledilnik.org/en/stats
