,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
222,Argentina,ARG,12/31/2020,32013.0,,,,15656.0,0.07,,,346.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
223,Bahrain,BHR,12/31/2020,58643.0,58643.0,,1326.0,1225.0,3.45,3.45,,720.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1357433853447729159
224,Belgium,BEL,12/31/2020,787.0,787.0,,9.0,163.0,0.01,0.01,,14.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
225,Bulgaria,BGR,12/31/2020,,,,,1477.0,,,,213.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
226,Canada,CAN,12/31/2020,,,,,5488.0,,,,145.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
227,Cayman Islands,CYM,12/31/2020,,,,,275.0,,,,4184.0,Pfizer/BioNTech,Cayman Islands Government,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard
228,Chile,CHL,12/31/2020,,,,,1204.0,,,,63.0,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
229,China,CHN,12/31/2020,4500000.0,4500000.0,,,187500.0,0.31,0.31,,130.0,"CNBG, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html
230,Costa Rica,CRI,12/31/2020,,,,,240.0,,,,47.0,Pfizer/BioNTech,National Health Commission,https://www.swissinfo.ch/spa/coronavirus-costa-rica_costa-rica-ha-aplicado-57.701-vacunas-contra-la-covid-19/46336712
231,Croatia,HRV,12/31/2020,,,,,1105.0,,,,269.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/i-dalje-potreban-oprez-730-novih-slucajeva-zaraze/31434
232,Czech Republic,CZE,12/31/2020,11746.0,11746.0,,1304.0,2622.0,0.11,0.11,,245.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
233,Denmark,DNK,12/31/2020,35758.0,35758.0,,6341.0,7278.0,0.62,0.62,,1257.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-04022021-n1z9
234,Estonia,EST,12/31/2020,1907.0,,,1023.0,567.0,0.14,,,427.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-5-veebruar-oopaevaga-lisandus-596-positiivset-testi
235,Finland,FIN,12/31/2020,1767.0,,,,,0.03,,,,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
236,France,FRA,12/31/2020,316.0,316.0,,79.0,76.0,0.0,0.0,,1.0,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
237,Germany,DEU,12/31/2020,182965.0,182965.0,,38058.0,39767.0,0.22,0.22,,475.0,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
238,Greece,GRC,12/31/2020,2339.0,2339.0,,617.0,631.0,0.02,0.02,,61.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
239,Hungary,HUN,12/31/2020,5110.0,,,1321.0,1339.0,0.05,,,139.0,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1576-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-98-beteg
240,Iceland,ISL,12/31/2020,,,,,63.0,,,,185.0,"Moderna, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
241,Ireland,IRL,12/31/2020,1800.0,,,,,0.04,,,,Pfizer/BioNTech,Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
242,Israel,ISR,12/31/2020,978687.0,978687.0,,156578.0,109624.0,11.31,11.31,,12665.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
243,Italy,ITA,12/31/2020,38626.0,38626.0,,25161.0,7904.0,0.06,0.06,,131.0,"Moderna, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv
