,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
905,Kuwait,KWT,1/14/2021,,,,,1121.0,,,,262.0,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518
906,Latvia,LVA,1/14/2021,13299.0,,,1819.0,1124.0,0.71,,,596.0,Pfizer/BioNTech,National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
907,Lithuania,LTU,1/14/2021,42550.0,42550.0,,8619.0,3504.0,1.56,1.56,,1287.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
908,Luxembourg,LUX,1/14/2021,3233.0,3233.0,,362.0,220.0,0.52,0.52,,351.0,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/1f6f6910-8dc4-4d17-9fbe-03bbc9664591
909,Malta,MLT,1/14/2021,,,,,735.0,,,,1665.0,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
910,Mexico,MEX,1/14/2021,329983.0,329983.0,,137416.0,38797.0,0.26,0.26,,301.0,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-263016?idiom=es
911,Monaco,MCO,1/14/2021,,,,,126.0,,,,3211.0,Pfizer/BioNTech,National Council,https://www.monaco-tribune.com/en/2021/01/covid-19-monaco-conducts-three-times-more-tests-than-france/
912,Netherlands,NLD,1/14/2021,,,,,5143.0,,,,300.0,"Moderna, Pfizer/BioNTech",National Institute for Public Health and the Environment,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
913,Northern Cyprus,,1/14/2021,0.0,,,,,0.0,,,,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://cyprus-mail.com/2021/01/22/coronavirus-11000-vaccines-administered-in-the-north/
914,Northern Ireland,,1/14/2021,133831.0,114567.0,19264.0,12120.0,9044.0,7.07,6.05,1.02,4776.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
915,Norway,NOR,1/14/2021,45743.0,45743.0,,8402.0,3509.0,0.84,0.84,,647.0,Pfizer/BioNTech,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
916,Oman,OMN,1/14/2021,24204.0,24204.0,,1455.0,1328.0,0.47,0.47,,260.0,Pfizer/BioNTech,Ministry of Health,https://twitter.com/OmaniMOH/status/1354699593666195458
917,Poland,POL,1/14/2021,410480.0,410480.0,,41268.0,31646.0,1.08,1.08,,836.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
918,Portugal,PRT,1/14/2021,,,,,6406.0,,,,628.0,Pfizer/BioNTech,National Health Service,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/
919,Romania,ROU,1/14/2021,167612.0,167612.0,,13344.0,13030.0,0.87,0.87,,677.0,Pfizer/BioNTech,Government of Romania,https://vaccinare-covid.gov.ro/wp-content/uploads/2021/02/04.02.21-Tabel-situatie-vaccinari-2.pdf
920,Saudi Arabia,SAU,1/14/2021,,,,,14153.0,,,,407.0,Pfizer/BioNTech,Saudi Health Council,https://coronamap.sa
921,Serbia,SRB,1/14/2021,18136.0,,,,1856.0,0.27,,,273.0,"Pfizer/BioNTech, Sinopharm, Sputnik V",Government of Serbia,https://www.danas.rs/drustvo/vakcinu-dobilo-526-930-gradjana-nis-i-dalje-vodeci-u-zemlji/
922,Seychelles,SYC,1/14/2021,,,,,600.0,,,,6101.0,"Oxford/AstraZeneca, Sinopharm",Extended Programme for Immunisation,https://www.facebook.com/mohseychellesofficial/photos/1648953545305770
923,Singapore,SGP,1/14/2021,,,,,4520.0,,,,773.0,Pfizer/BioNTech,Ministry of Health,https://www.moh.gov.sg/news-highlights/details/second-covid-19-vaccine-authorised-for-use-in-singapore
924,Slovakia,SVK,1/14/2021,53830.0,53830.0,,7587.0,5743.0,0.99,0.99,,1052.0,Pfizer/BioNTech,Ministry of Health,https://covid-19.nczisk.sk
925,Slovenia,SVN,1/14/2021,42304.0,42304.0,,6590.0,2413.0,2.03,2.03,,1161.0,Pfizer/BioNTech,"National Institute of Public Health, via Sledilnik",https://covid-19.sledilnik.org/en/stats
926,Spain,ESP,1/14/2021,676186.0,676186.0,,94548.0,66980.0,1.45,1.45,,1433.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210204.ods
927,Sweden,SWE,1/14/2021,,,,,7669.0,,,,759.0,Pfizer/BioNTech,Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
928,Switzerland,CHE,1/14/2021,66000.0,,,,3000.0,0.76,,,347.0,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses
929,Turkey,TUR,1/14/2021,279452.0,,,279452.0,279452.0,0.33,,,3313.0,Sinovac,COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
930,United Arab Emirates,ARE,1/14/2021,1527833.0,1277833.0,250000.0,133253.0,91448.0,15.45,12.92,2.53,9246.0,"Pfizer/BioNTech, Sinopharm",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
931,UK,GBR,1/14/2021,3678180.0,3234946.0,443234.0,321951.0,221298.0,5.42,4.77,0.65,3260.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
932,USA,USA,1/14/2021,11148991.0,9690757.0,1342086.0,870529.0,747082.0,3.33,2.9,0.4,2234.0,"Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
933,Argentina,ARG,1/15/2021,200759.0,,,,13317.0,0.44,,,295.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
934,Austria,AUT,1/15/2021,39751.0,39751.0,,10392.0,6593.0,0.44,0.44,,732.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
935,Bahrain,BHR,1/15/2021,122819.0,122819.0,,13253.0,6361.0,7.22,7.22,,3738.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1357433853447729159
936,Belgium,BEL,1/15/2021,112437.0,112437.0,,22397.0,12710.0,0.97,0.97,,1097.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
937,Bermuda,BMU,1/15/2021,,,,,278.0,,,,4464.0,Pfizer/BioNTech,Government of Bermuda,https://www.gov.bm/sites/default/files/COVID-19%20Vaccination%20Updates.pdf
938,Bulgaria,BGR,1/15/2021,18126.0,18126.0,,440.0,682.0,0.26,0.26,,98.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
939,Canada,CAN,1/15/2021,342227.0,,,31439.0,21567.0,0.91,,,571.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
940,Cayman Islands,CYM,1/15/2021,,,,,275.0,,,,4184.0,Pfizer/BioNTech,Cayman Islands Government,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard
941,Chile,CHL,1/15/2021,21876.0,13755.0,8121.0,3350.0,1437.0,0.11,0.07,0.04,75.0,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
942,China,CHN,1/15/2021,,,,,418367.0,,,,291.0,"CNBG, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html
943,Costa Rica,CRI,1/15/2021,24859.0,24804.0,55.0,,2158.0,0.49,0.49,0.0,424.0,Pfizer/BioNTech,National Health Commission,https://www.swissinfo.ch/spa/coronavirus-costa-rica_costa-rica-ha-aplicado-57.701-vacunas-contra-la-covid-19/46336712
944,Croatia,HRV,1/15/2021,41532.0,41532.0,,3532.0,2364.0,1.01,1.01,,576.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/i-dalje-potreban-oprez-730-novih-slucajeva-zaraze/31434
945,Cyprus,CYP,1/15/2021,10226.0,,,,751.0,1.17,,,857.0,Pfizer/BioNTech,Ministry of Health,https://cyprus-mail.com/2021/01/30/coronavirus-more-vaccination-slots-to-open-on-monday/
946,Czech Republic,CZE,1/15/2021,114472.0,114472.0,,13477.0,9796.0,1.07,1.07,,915.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
947,Denmark,DNK,1/15/2021,165660.0,165655.0,5.0,15191.0,7089.0,2.86,2.86,0.0,1224.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-04022021-n1z9
948,Estonia,EST,1/15/2021,16677.0,,,1798.0,1243.0,1.26,,,937.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-5-veebruar-oopaevaga-lisandus-596-positiivset-testi
949,Finland,FIN,1/15/2021,43143.0,,,10110.0,4573.0,0.78,,,825.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
950,France,FRA,1/15/2021,364846.0,364846.0,,58640.0,41261.0,0.54,0.54,,608.0,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
951,Germany,DEU,1/15/2021,1089844.0,1089267.0,577.0,92807.0,75512.0,1.3,1.3,0.0,901.0,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
952,Gibraltar,GIB,1/15/2021,5135.0,5135.0,,,943.0,15.24,15.24,,27990.0,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1357291680366555137
953,Greece,GRC,1/15/2021,75412.0,75412.0,,4452.0,5734.0,0.72,0.72,,550.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
954,Hungary,HUN,1/15/2021,112847.0,,,7119.0,8688.0,1.17,,,899.0,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1576-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-98-beteg
955,Iceland,ISL,1/15/2021,,,,,63.0,,,,185.0,"Moderna, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
956,India,IND,1/15/2021,0.0,,,,,0.0,,,,"Covaxin, Oxford/AstraZeneca",Ministry of Health,https://www.mohfw.gov.in/
957,Indonesia,IDN,1/15/2021,,,,,13200.0,,,,48.0,Sinovac,Ministry of Health,https://www.kemkes.go.id/
958,Ireland,IRL,1/15/2021,,,,,8873.0,,,,1797.0,Pfizer/BioNTech,Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
959,Israel,ISR,1/15/2021,2290377.0,2070643.0,219734.0,65511.0,68642.0,26.46,23.92,2.54,7930.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
960,Italy,ITA,1/15/2021,1097433.0,1097433.0,,87318.0,82606.0,1.82,1.82,,1366.0,"Moderna, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv
961,Kuwait,KWT,1/15/2021,,,,,1121.0,,,,262.0,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518
962,Latvia,LVA,1/15/2021,15165.0,,,1866.0,1261.0,0.8,,,669.0,Pfizer/BioNTech,National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
963,Lithuania,LTU,1/15/2021,49787.0,49787.0,,7237.0,3800.0,1.83,1.83,,1396.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
964,Luxembourg,LUX,1/15/2021,,,,,236.0,,,,377.0,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/1f6f6910-8dc4-4d17-9fbe-03bbc9664591
965,Malta,MLT,1/15/2021,9496.0,,,,840.0,2.15,,,1902.0,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
966,Mexico,MEX,1/15/2021,417375.0,415417.0,1958.0,87392.0,49987.0,0.32,0.32,0.0,388.0,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-263016?idiom=es
967,Monaco,MCO,1/15/2021,,,,,126.0,,,,3211.0,Pfizer/BioNTech,National Council,https://www.monaco-tribune.com/en/2021/01/covid-19-monaco-conducts-three-times-more-tests-than-france/
968,Netherlands,NLD,1/15/2021,55000.0,,,,4000.0,0.32,,,233.0,"Moderna, Pfizer/BioNTech",National Institute for Public Health and the Environment,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
969,Northern Cyprus,,1/15/2021,,,,,994.0,,,,2601.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://cyprus-mail.com/2021/01/22/coronavirus-11000-vaccines-administered-in-the-north/
970,Northern Ireland,,1/15/2021,137380.0,117906.0,19474.0,3549.0,8530.0,7.25,6.23,1.03,4504.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
971,Norway,NOR,1/15/2021,50213.0,50213.0,,4470.0,3918.0,0.93,0.93,,723.0,Pfizer/BioNTech,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
972,Oman,OMN,1/15/2021,,,,,1358.0,,,,266.0,Pfizer/BioNTech,Ministry of Health,https://twitter.com/OmaniMOH/status/1354699593666195458
973,Poland,POL,1/15/2021,436963.0,436963.0,,26483.0,34025.0,1.15,1.15,,899.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
974,Portugal,PRT,1/15/2021,106000.0,106000.0,,,5143.0,1.04,1.04,,504.0,Pfizer/BioNTech,National Health Service,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/
975,Romania,ROU,1/15/2021,183669.0,183669.0,,16057.0,12995.0,0.95,0.95,,675.0,Pfizer/BioNTech,Government of Romania,https://vaccinare-covid.gov.ro/wp-content/uploads/2021/02/04.02.21-Tabel-situatie-vaccinari-2.pdf
976,Saudi Arabia,SAU,1/15/2021,,,,,15498.0,,,,445.0,Pfizer/BioNTech,Saudi Health Council,https://coronamap.sa
977,Serbia,SRB,1/15/2021,,,,,2221.0,,,,326.0,"Pfizer/BioNTech, Sinopharm, Sputnik V",Government of Serbia,https://www.danas.rs/drustvo/vakcinu-dobilo-526-930-gradjana-nis-i-dalje-vodeci-u-zemlji/
978,Seychelles,SYC,1/15/2021,4000.0,4000.0,,,667.0,4.07,4.07,,6783.0,"Oxford/AstraZeneca, Sinopharm",Extended Programme for Immunisation,https://www.facebook.com/mohseychellesofficial/photos/1648953545305770
979,Singapore,SGP,1/15/2021,,,,,4735.0,,,,809.0,Pfizer/BioNTech,Ministry of Health,https://www.moh.gov.sg/news-highlights/details/second-covid-19-vaccine-authorised-for-use-in-singapore
980,Slovakia,SVK,1/15/2021,61372.0,61372.0,,7542.0,5832.0,1.12,1.12,,1068.0,Pfizer/BioNTech,Ministry of Health,https://covid-19.nczisk.sk
981,Slovenia,SVN,1/15/2021,47046.0,47046.0,,4742.0,2635.0,2.26,2.26,,1267.0,Pfizer/BioNTech,"National Institute of Public Health, via Sledilnik",https://covid-19.sledilnik.org/en/stats
982,Spain,ESP,1/15/2021,768950.0,768950.0,,92764.0,70139.0,1.64,1.64,,1500.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210204.ods
983,Sweden,SWE,1/15/2021,,,,,8449.0,,,,837.0,Pfizer/BioNTech,Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
984,Switzerland,CHE,1/15/2021,,,,,3829.0,,,,442.0,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses
985,Turkey,TUR,1/15/2021,616652.0,,,337200.0,308326.0,0.73,,,3656.0,Sinovac,COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
986,United Arab Emirates,ARE,1/15/2021,1665987.0,1415987.0,250000.0,138154.0,103490.0,16.84,14.32,2.53,10464.0,"Pfizer/BioNTech, Sinopharm",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
987,UK,GBR,1/15/2021,4006440.0,3559179.0,447261.0,328260.0,242056.0,5.9,5.24,0.66,3566.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
988,USA,USA,1/15/2021,12279180.0,10595866.0,1610524.0,1130189.0,798707.0,3.67,3.17,0.48,2388.0,"Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
989,Argentina,ARG,1/16/2021,,,,,12971.0,,,,287.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
990,Austria,AUT,1/16/2021,50402.0,50402.0,,10651.0,7270.0,0.56,0.56,,807.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
991,Bahrain,BHR,1/16/2021,137159.0,137159.0,,14340.0,7572.0,8.06,8.06,,4450.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1357433853447729159
992,Belgium,BEL,1/16/2021,117410.0,117410.0,,4973.0,12967.0,1.01,1.01,,1119.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
993,Bermuda,BMU,1/16/2021,1665.0,,,,278.0,2.67,,,4464.0,Pfizer/BioNTech,Government of Bermuda,https://www.gov.bm/sites/default/files/COVID-19%20Vaccination%20Updates.pdf
994,Brazil,BRA,1/16/2021,0.0,0.0,,,,0.0,0.0,,,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
995,Bulgaria,BGR,1/16/2021,18332.0,18332.0,,206.0,694.0,0.26,0.26,,100.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
996,Canada,CAN,1/16/2021,,375634.0,15911.0,,22699.0,,1.0,0.04,601.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
997,Cayman Islands,CYM,1/16/2021,,,,,275.0,,,,4184.0,Pfizer/BioNTech,Cayman Islands Government,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard
998,Chile,CHL,1/16/2021,21937.0,13766.0,8171.0,61.0,1366.0,0.11,0.07,0.04,71.0,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
999,China,CHN,1/16/2021,,,,,448980.0,,,,312.0,"CNBG, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html
1000,Costa Rica,CRI,1/16/2021,,,,,2066.0,,,,406.0,Pfizer/BioNTech,National Health Commission,https://www.swissinfo.ch/spa/coronavirus-costa-rica_costa-rica-ha-aplicado-57.701-vacunas-contra-la-covid-19/46336712
1001,Croatia,HRV,1/16/2021,45906.0,45906.0,,4374.0,2272.0,1.12,1.12,,553.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/i-dalje-potreban-oprez-730-novih-slucajeva-zaraze/31434
1002,Cyprus,CYP,1/16/2021,,,,,821.0,,,,937.0,Pfizer/BioNTech,Ministry of Health,https://cyprus-mail.com/2021/01/30/coronavirus-more-vaccination-slots-to-open-on-monday/
1003,Czech Republic,CZE,1/16/2021,117783.0,117783.0,,3311.0,9985.0,1.1,1.1,,932.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
1004,Denmark,DNK,1/16/2021,170265.0,170253.0,12.0,4605.0,7474.0,2.94,2.94,0.0,1290.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-04022021-n1z9
1005,Estonia,EST,1/16/2021,17959.0,,,1282.0,1109.0,1.35,,,836.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-5-veebruar-oopaevaga-lisandus-596-positiivset-testi
1006,Finland,FIN,1/16/2021,,,,,4971.0,,,,897.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
1007,France,FRA,1/16/2021,382326.0,382326.0,,17480.0,42287.0,0.56,0.56,,623.0,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
1008,Germany,DEU,1/16/2021,1146650.0,1145651.0,999.0,56806.0,75558.0,1.37,1.37,0.0,902.0,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
1009,Gibraltar,GIB,1/16/2021,5847.0,5847.0,,712.0,904.0,17.35,17.35,,26832.0,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1357291680366555137
1010,Greece,GRC,1/16/2021,80391.0,80389.0,2.0,4979.0,5709.0,0.77,0.77,0.0,548.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
1011,Hungary,HUN,1/16/2021,119944.0,,,7097.0,8347.0,1.24,,,864.0,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1576-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-98-beteg
1012,Iceland,ISL,1/16/2021,,,,,63.0,,,,185.0,"Moderna, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
1013,India,IND,1/16/2021,191181.0,,,191181.0,191181.0,0.01,,,139.0,"Covaxin, Oxford/AstraZeneca",Ministry of Health,https://www.mohfw.gov.in/
1014,Indonesia,IDN,1/16/2021,,,,,13200.0,,,,48.0,Sinovac,Ministry of Health,https://www.kemkes.go.id/
1015,Ireland,IRL,1/16/2021,,,,,8293.0,,,,1679.0,Pfizer/BioNTech,Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
1016,Israel,ISR,1/16/2021,2345004.0,2099764.0,245240.0,54627.0,70166.0,27.09,24.26,2.83,8106.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
1017,Italy,ITA,1/16/2021,1160806.0,1160806.0,,63373.0,79314.0,1.92,1.92,,1312.0,"Moderna, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv
1018,Kuwait,KWT,1/16/2021,,,,,1121.0,,,,262.0,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518
1019,Latvia,LVA,1/16/2021,15828.0,,,663.0,1312.0,0.84,,,696.0,Pfizer/BioNTech,National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
1020,Lithuania,LTU,1/16/2021,50876.0,50876.0,,1089.0,3912.0,1.87,1.87,,1437.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
1021,Luxembourg,LUX,1/16/2021,,,,,252.0,,,,403.0,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/1f6f6910-8dc4-4d17-9fbe-03bbc9664591
1022,Malta,MLT,1/16/2021,,,,,938.0,,,,2124.0,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
1023,Mexico,MEX,1/16/2021,463246.0,461025.0,2221.0,45871.0,55493.0,0.36,0.36,0.0,430.0,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-263016?idiom=es
1024,Monaco,MCO,1/16/2021,,,,,126.0,,,,3211.0,Pfizer/BioNTech,National Council,https://www.monaco-tribune.com/en/2021/01/covid-19-monaco-conducts-three-times-more-tests-than-france/
1025,Netherlands,NLD,1/16/2021,,,,,5143.0,,,,300.0,"Moderna, Pfizer/BioNTech",National Institute for Public Health and the Environment,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
1026,Northern Cyprus,,1/16/2021,,,,,994.0,,,,2601.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://cyprus-mail.com/2021/01/22/coronavirus-11000-vaccines-administered-in-the-north/
1027,Northern Ireland,,1/16/2021,140561.0,120387.0,20174.0,3181.0,7964.0,7.42,6.36,1.07,4206.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
1028,Norway,NOR,1/16/2021,50946.0,50946.0,,733.0,4003.0,0.94,0.94,,738.0,Pfizer/BioNTech,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
1029,Oman,OMN,1/16/2021,24773.0,24773.0,,,1393.0,0.49,0.49,,273.0,Pfizer/BioNTech,Ministry of Health,https://twitter.com/OmaniMOH/status/1354699593666195458
